branch_id,branch_name,branch_city,sales_channel
B001,Central Branch 1,Rasht,online
B002,Mall Branch 2,Karaj,partner
B003,Bazaar Branch 3,Karaj,online
B004,Bazaar Branch 4,Rasht,partner
B005,South Branch 5,Tehran,online
B006,North Branch 6,Tehran,online
B007,Central Branch 7,Qom,partner
B008,West Branch 8,Isfahan,store
B009,South Branch 9,Isfahan,store
B010,Central Branch 10,Rasht,mobile
B011,Central Branch 11,Tehran,partner
B012,South Branch 12,Mashhad,online
B013,Outlet Branch 13,Mashhad,mobile
B014,Bazaar Branch 14,Shiraz,mobile
B015,Outlet Branch 15,Isfahan,partner
B016,North Branch 16,Rasht,online
B017,Express Branch 17,Tehran,online
B018,North Branch 18,Tabriz,partner
B019,Bazaar Branch 19,Shiraz,mobile
B020,North Branch 20,Shiraz,online
B021,Airport Branch 21,Tehran,online
B022,Outlet Branch 22,Rasht,mobile
B023,Bazaar Branch 23,Rasht,mobile
B024,Outlet Branch 24,Tehran,store
B025,Bazaar Branch 25,Tehran,mobile
B026,Central Branch 26,Mashhad,partner
B027,Express Branch 27,Shiraz,store
B028,Express Branch 28,Isfahan,partner
B029,North Branch 29,Tehran,mobile
B030,Airport Branch 30,Mashhad,mobile
B031,North Branch 31,Tehran,store
B032,Central Branch 32,Shiraz,partner
B033,South Branch 33,Isfahan,online
B034,Express Branch 34,Isfahan,partner
B035,Mall Branch 35,Isfahan,mobile
B036,Express Branch 36,Tehran,store
B037,Bazaar Branch 37,Tehran,online
B038,East Branch 38,Tehran,mobile
B039,Mall Branch 39,Shiraz,online
B040,Outlet Branch 40,Tehran,online
