category_id,category_name,category_display_name
CAT001,Automotive,Automotive
CAT002,Baby,Baby
CAT003,Beauty,Beauty
CAT004,Books,Books
CAT005,Clothing,Clothing
CAT006,Electronics,Electronics
CAT007,Furniture,Furniture
CAT008,Gaming,Gaming
CAT009,Garden,Garden
CAT010,Grocery,Grocery
CAT011,Health,Health
CAT012,Home Appliances,Home Appliances
CAT013,Jewelry,Jewelry
CAT014,Music,Music
CAT015,Office,Office
CAT016,Pets,Pets
CAT017,Shoes,Shoes
CAT018,Sports,Sports
CAT019,Toys,Toys
CAT020,Travel,Travel
