product_id,product_name,category_id,category_name,unit_cost,unit_price
P00001,Mini Desk 1,CAT00005,Electronics,75.63,160.11
P00002,Classic Ball 2,CAT00011,Home Appliances,205.44,250.43
P00003,Smart Desk 3,CAT00003,Books,148.82,415.03
P00004,Mini Desk 4,CAT00002,Beauty,211.74,535.86
P00005,Pro Notebook 5,CAT00017,Sports,293.1,596.01
P00006,Nova Puzzle 6,CAT00018,Toys,236.33,478.89
P00007,Prime Coffee 7,CAT00004,Clothing,118.64,318.72
P00008,Pro Desk 8,CAT00016,Shoes,240.22,589.41
P00009,Smart Sneakers 9,CAT00009,Grocery,111.74,136.39
P00010,Max Sneakers 10,CAT00014,Office,158.66,261.05
P00011,Prime Ball 11,CAT00008,Garden,73.98,195.05
P00012,Classic Headphones 12,CAT00000,Automotive,167.7,202.09
P00013,Plus Notebook 13,CAT00010,Health,217.38,305.51
P00014,Max Sneakers 14,CAT00012,Jewelry,272.13,661.16
P00015,Pro Shirt 15,CAT00013,Music,56.2,147.54
P00016,Plus Shirt 16,CAT00015,Pets,201.17,553.22
P00017,Classic Puzzle 17,CAT00001,Baby,318.55,672.98
P00018,Eco Headphones 18,CAT00019,Travel,87.72,230.0
P00019,Pro Coffee 19,CAT00007,Gaming,77.76,112.44
P00020,Basic Headphones 20,CAT00006,Furniture,188.14,336.67
P00021,Classic Notebook 21,CAT00005,Electronics,378.84,644.97
P00022,Eco Coffee 22,CAT00011,Home Appliances,177.76,303.68
P00023,Eco Ball 23,CAT00003,Books,204.05,491.54
P00024,Max Desk 24,CAT00002,Beauty,290.07,571.4
P00025,Basic Mixer 25,CAT00017,Sports,298.56,749.92
P00026,Pro Ball 26,CAT00018,Toys,354.05,925.27
P00027,Prime Mixer 27,CAT00004,Clothing,183.73,503.78
P00028,Prime Puzzle 28,CAT00016,Shoes,181.09,267.99
P00029,Smart Ball 29,CAT00009,Grocery,145.16,224.66
P00030,Basic Puzzle 30,CAT00014,Office,146.01,240.91
P00031,Mini Coffee 31,CAT00008,Garden,22.73,26.89
P00032,Smart Cream 32,CAT00000,Automotive,288.21,344.32
P00033,Smart Coffee 33,CAT00010,Health,338.72,496.36
P00034,Basic Coffee 34,CAT00012,Jewelry,219.46,377.08
P00035,Nova Puzzle 35,CAT00013,Music,269.5,446.45
P00036,Eco Desk 36,CAT00015,Pets,374.23,991.73
P00037,Basic Ball 37,CAT00001,Baby,125.82,338.81
P00038,Eco Desk 38,CAT00019,Travel,388.86,600.62
P00039,Mini Shirt 39,CAT00007,Gaming,160.85,364.32
P00040,Plus Cream 40,CAT00006,Furniture,273.99,678.66
P00041,Prime Puzzle 41,CAT00005,Electronics,176.45,458.88
P00042,Max Mixer 42,CAT00011,Home Appliances,384.92,609.82
P00043,Prime Mixer 43,CAT00003,Books,59.66,72.72
P00044,Eco Mixer 44,CAT00002,Beauty,302.06,834.85
P00045,Smart Shirt 45,CAT00017,Sports,146.42,217.91
P00046,Nova Notebook 46,CAT00018,Toys,350.7,730.29
P00047,Eco Desk 47,CAT00004,Clothing,96.95,241.24
P00048,Eco Mixer 48,CAT00016,Shoes,350.81,713.98
P00049,Max Notebook 49,CAT00009,Grocery,105.19,180.1
P00050,Smart Notebook 50,CAT00014,Office,230.15,636.37
P00051,Classic Ball 51,CAT00008,Garden,94.83,161.88
P00052,Smart Coffee 52,CAT00000,Automotive,204.8,285.16
P00053,Max Ball 53,CAT00010,Health,288.74,434.09
P00054,Basic Headphones 54,CAT00012,Jewelry,88.47,240.45
P00055,Prime Headphones 55,CAT00013,Music,197.73,375.36
P00056,Classic Puzzle 56,CAT00015,Pets,174.98,448.88
P00057,Classic Ball 57,CAT00001,Baby,229.73,409.52
P00058,Classic Headphones 58,CAT00019,Travel,73.06,162.67
P00059,Mini Notebook 59,CAT00007,Gaming,81.83,175.96
P00060,Basic Puzzle 60,CAT00006,Furniture,59.7,144.88
P00061,Mini Sneakers 61,CAT00005,Electronics,249.12,360.36
P00062,Prime Sneakers 62,CAT00011,Home Appliances,358.63,458.16
P00063,Classic Headphones 63,CAT00003,Books,360.04,496.7
P00064,Eco Mixer 64,CAT00002,Beauty,399.45,808.91
P00065,Basic Mixer 65,CAT00017,Sports,381.26,805.32
P00066,Plus Puzzle 66,CAT00018,Toys,349.69,851.85
P00067,Basic Cream 67,CAT00004,Clothing,154.08,200.69
P00068,Pro Mixer 68,CAT00016,Shoes,150.72,307.95
P00069,Eco Ball 69,CAT00009,Grocery,41.97,62.04
P00070,Classic Sneakers 70,CAT00014,Office,333.81,640.16
P00071,Classic Sneakers 71,CAT00008,Garden,280.34,477.06
P00072,Max Desk 72,CAT00000,Automotive,260.74,662.34
P00073,Mini Notebook 73,CAT00010,Health,211.95,460.24
P00074,Classic Sneakers 74,CAT00012,Jewelry,157.44,302.63
P00075,Mini Shirt 75,CAT00013,Music,268.13,639.04
P00076,Prime Mixer 76,CAT00015,Pets,285.33,503.51
P00077,Smart Mixer 77,CAT00001,Baby,358.16,681.63
P00078,Smart Cream 78,CAT00019,Travel,7.24,19.81
P00079,Mini Mixer 79,CAT00007,Gaming,10.52,15.21
P00080,Nova Puzzle 80,CAT00006,Furniture,298.24,674.76
P00081,Eco Coffee 81,CAT00005,Electronics,267.58,643.87
