category_id,category_name,category_display_name,total_revenue,net_revenue,gross_profit,total_quantity_sold,gross_margin_percentage
CAT019,Toys,Toys,90196115.49,81744178.50,40703796.35,159766,49.79
CAT018,Sports,Sports,76489871.08,69379093.11,33326601.99,159706,48.04
CAT016,Pets,Pets,73473414.87,66555318.67,31663486.65,160422,47.57
CAT003,Beauty,Beauty,72337196.50,65512275.95,29263839.56,162273,44.67
CAT006,Electronics,Electronics,69860600.39,63357431.46,26381620.38,160879,41.64
CAT010,Grocery,Grocery,60560733.45,54850817.61,26120548.84,159752,47.62
CAT005,Clothing,Clothing,62710684.43,56847684.14,25835486.12,161337,45.45
CAT004,Books,Books,59967483.86,54410326.72,24865667.31,160896,45.70
CAT020,Travel,Travel,58437279.01,52940261.81,24670651.49,161446,46.60
CAT011,Health,Health,67860080.89,61516245.89,24012063.75,159658,39.03
CAT007,Furniture,Furniture,59892179.77,54263711.99,23373413.57,160248,43.07
CAT012,Home Appliances,Home Appliances,62643997.01,56745853.92,23338313.65,160896,41.13
CAT014,Music,Music,58471146.87,53029300.22,22791663.93,160096,42.98
CAT017,Shoes,Shoes,59693281.33,54076299.07,22714170.75,160297,42.00
CAT015,Office,Office,57686479.00,52276461.85,21561308.98,161033,41.24
CAT002,Baby,Baby,57534385.27,52156460.85,21430238.77,161267,41.09
CAT008,Gaming,Gaming,51146656.72,46343127.93,19977396.32,160832,43.11
CAT001,Automotive,Automotive,57249454.53,51932637.94,19048955.95,160511,36.68
CAT009,Garden,Garden,47640771.47,43179107.06,18352515.62,160726,42.50
CAT013,Jewelry,Jewelry,49712989.25,45063361.88,16588586.74,160741,36.81
