sale_date,total_revenue,net_revenue,gross_profit,total_quantity_sold,gross_margin_percentage
2023-01-01,1099209.37,1002387.65,444505.94,2829,44.34
2023-01-02,1115462.23,1005327.32,434190.52,2949,43.19
2023-01-03,1255588.68,1142318.81,503100.88,3134,44.04
2023-01-04,1173746.75,1066020.47,479694.37,2898,45.00
2023-01-05,1179064.03,1063609.96,458222.03,3077,43.08
2023-01-06,1096008.08,998373.21,438737.65,2779,43.95
2023-01-07,1192208.31,1079468.06,465855.90,3042,43.16
2023-01-08,1032347.60,932290.86,404299.93,2637,43.37
2023-01-09,1191064.92,1081240.70,465853.28,3096,43.09
2023-01-10,1175638.21,1063998.64,460335.20,3016,43.26
2023-01-11,1067111.99,965039.25,409623.76,2758,42.45
2023-01-12,1104709.61,1000340.28,441461.69,2822,44.13
2023-01-13,1144453.11,1040694.81,436385.63,3108,41.93
2023-01-14,1143100.32,1046300.99,463783.21,2939,44.33
2023-01-15,1278557.79,1154326.51,500429.40,3220,43.35
2023-01-16,1113319.46,1009978.67,432372.08,2938,42.81
2023-01-17,1072474.25,976706.44,426505.41,2801,43.67
2023-01-18,1130962.70,1024256.40,445443.69,2924,43.49
2023-01-19,1148859.52,1043268.28,455687.49,2922,43.68
2023-01-20,1092432.43,990546.75,436380.95,2761,44.05
2023-01-21,1168020.92,1062700.60,468566.24,2954,44.09
2023-01-22,1078912.99,980302.18,428069.46,2755,43.67
2023-01-23,1121067.87,1024144.46,453017.49,2926,44.23
2023-01-24,1163451.09,1053665.32,471429.63,2894,44.74
2023-01-25,1195062.42,1082415.29,467300.67,3021,43.17
2023-01-26,1120620.12,1014843.90,448007.60,2899,44.15
2023-01-27,1193956.48,1081763.04,474426.81,2990,43.86
2023-01-28,1107561.96,996496.29,433517.20,2873,43.50
2023-01-29,1138351.25,1028580.85,457935.51,2846,44.52
2023-01-30,1230520.12,1111303.48,475534.41,3114,42.79
2023-01-31,1136665.79,1027551.40,446774.41,2931,43.48
2023-02-01,1140435.31,1036723.40,448615.45,2856,43.27
2023-02-02,1083835.55,988245.10,435418.42,2784,44.06
