branch_id,branch_name,branch_city,sales_channel,total_revenue,net_revenue,gross_profit,total_quantity_sold,gross_margin_percentage
B031,North Branch 31,Tehran,store,31869131.12,28888092.49,12645630.12,81260,43.77
B023,Bazaar Branch 23,Rasht,mobile,31776770.79,28761688.14,12525630.70,80614,43.55
B036,Express Branch 36,TEHRAN,store,31733558.15,28784880.68,12566775.82,81952,43.66
B001,Central Branch 1,Rasht,online,31710719.74,28727283.13,12548518.89,81161,43.68
B016,North Branch 16,Rasht,online,31707600.94,28750326.01,12539631.22,80549,43.62
B032,Central Branch 32,shiraz,partner,31641302.62,28669353.60,12500723.58,80653,43.60
B030,Airport Branch 30,Mashhad,mobile,31613062.02,28642830.06,12518920.96,80528,43.71
B040,Outlet Branch 40,tehran,online,31595681.42,28662623.37,12574983.68,80692,43.87
B034,Express Branch 34,isfahan,partner,31566311.70,28569662.42,12481984.95,81270,43.69
B011,Central Branch 11,TEHRAN,partner,31546003.43,28616587.42,12482234.92,80826,43.62
B038,East Branch 38,Tehran,mobile,31545908.11,28629726.33,12509107.35,80762,43.69
B012,South Branch 12,Mashhad,online,31531638.59,28594581.06,12498224.03,81255,43.71
B002,Mall Branch 2,Karaj,partner,31530019.33,28553445.67,12554827.47,80332,43.97
B018,North Branch 18,Tabriz,partner,31440171.94,28517254.83,12392434.14,81173,43.46
B015,Outlet Branch 15,Isfahan,partner,31433845.66,28473601.80,12366070.58,80474,43.43
B020,North Branch 20,Shiraz,online,31432454.27,28498958.46,12473993.22,80000,43.77
B004,Bazaar Branch 4,Rasht,partner,31416065.09,28426543.81,12378718.39,80634,43.55
B013,Outlet Branch 13,Mashhad,mobile,31352542.31,28375301.25,12310124.36,80272,43.38
B022,Outlet Branch 22,Rasht,mobile,31339647.34,28423126.74,12466787.71,80398,43.86
B037,Bazaar Branch 37,Tehran,online,31324620.30,28466311.20,12517764.01,80191,43.97
B005,South Branch 5,TEHRAN,online,31311150.15,28402114.70,12443553.85,80403,43.81
B039,Mall Branch 39,Shiraz,online,31295554.46,28378153.43,12317123.72,80149,43.40
B003,Bazaar Branch 3,Karaj,online,31254624.99,28298152.48,12326930.93,80259,43.56
B026,Central Branch 26,Mashhad,partner,31218543.76,28293256.69,12345337.91,80147,43.63
B009,South Branch 9,isfahan,store,31214305.15,28305872.81,12425283.63,79597,43.90
B014,Bazaar Branch 14,shiraz,mobile,31191455.89,28221883.58,12271510.28,79904,43.48
B029,North Branch 29,TEHRAN,mobile,31184132.80,28250501.91,12320148.06,79706,43.61
B006,North Branch 6,tehran,online,31145594.65,28239522.46,12276948.00,80066,43.47
B024,Outlet Branch 24,TEHRAN,store,31140879.20,28211126.68,12305570.77,80157,43.62
B033,South Branch 33,isfahan,online,31123155.64,28161836.13,12277730.33,80048,43.60
B010,Central Branch 10,Rasht,mobile,31121998.06,28194920.34,12321084.29,79410,43.70
B007,Central Branch 7,Qom,partner,31120381.19,28203050.77,12277825.95,80088,43.53
B028,Express Branch 28,isfahan,partner,31115217.82,28212965.74,12324266.14,79647,43.68
B008,West Branch 8,Isfahan,store,31085393.12,28155478.20,12327215.23,79685,43.78
B017,Express Branch 17,tehran,online,31081763.42,28172411.18,12284429.74,80030,43.60
B021,Airport Branch 21,tehran,online,31027415.08,28161450.67,12303113.26,79907,43.69
B027,Express Branch 27,shiraz,store,31024423.43,28108630.05,12301107.30,79622,43.76
B019,Bazaar Branch 19,Shiraz,mobile,30967297.32,28109581.37,12258963.81,79677,43.61
B035,Mall Branch 35,isfahan,mobile,30928886.36,28060087.37,12258461.82,79329,43.69
B025,Bazaar Branch 25,Tehran,mobile,30905573.83,28006781.54,12200635.60,79955,43.56
