branch_id,branch_name,stockout_risk_products
B034,Express Branch 34,67
B008,West Branch 8,62
B009,South Branch 9,57
B030,Airport Branch 30,56
B007,Central Branch 7,55
B004,Bazaar Branch 4,54
B020,North Branch 20,53
B015,Outlet Branch 15,51
B038,East Branch 38,51
B005,South Branch 5,50
B017,Express Branch 17,50
B029,North Branch 29,50
B031,North Branch 31,50
B011,Central Branch 11,49
B037,Bazaar Branch 37,49
B024,Outlet Branch 24,48
B026,Central Branch 26,48
B033,South Branch 33,48
B006,North Branch 6,47
B014,Bazaar Branch 14,47
B022,Outlet Branch 22,47
B001,Central Branch 1,46
B002,Mall Branch 2,46
B016,North Branch 16,45
B025,Bazaar Branch 25,44
B036,Express Branch 36,44
B003,Bazaar Branch 3,43
B027,Express Branch 27,43
B032,Central Branch 32,43
B019,Bazaar Branch 19,42
B028,Express Branch 28,42
B013,Outlet Branch 13,41
B021,Airport Branch 21,41
B012,South Branch 12,40
B023,Bazaar Branch 23,40
B035,Mall Branch 35,40
B040,Outlet Branch 40,40
B039,Mall Branch 39,38
B010,Central Branch 10,37
B018,North Branch 18,37
