product_id,product_name,category_id,category_name,total_revenue,net_revenue,gross_profit,total_quantity_sold,gross_margin_percentage
P00246,Smart Shirt 246,CAT019,Toys,6688316.32,6049449.39,3566342.19,6328,58.95
P00036,Eco Desk 36,CAT016,Pets,6569219.52,5943140.18,3464240.66,6624,58.29
P00403,Mini Ball 403,CAT004,Books,6495971.30,5938599.21,3510894.51,6385,59.12
P00138,Classic Ball 138,CAT020,Travel,6440484.15,5832543.46,3286319.26,6555,56.34
P00026,Pro Ball 26,CAT019,Toys,6319594.10,5748147.73,3329986.23,6830,57.93
P00207,Basic Headphones 207,CAT005,Clothing,6148121.58,5562918.15,3356037.06,6759,60.33
P00245,Pro Shirt 245,CAT018,Sports,6027891.36,5473981.79,3208081.31,6536,58.61
P00198,Smart Puzzle 198,CAT020,Travel,5904243.90,5360073.12,3096265.68,6561,57.77
P00251,Eco Shirt 251,CAT009,Garden,5848462.65,5301994.32,2818348.68,6423,53.16
P00309,Plus Cream 309,CAT010,Grocery,5837011.92,5299055.47,2840005.27,6246,53.59
